id,name,vocabulary_id
3d5e26a3-04eb-4f1d-a841-8c9c6b85e5bb,Abies amabilis,
4dbdce2f-fb3e-446f-853b-01830464bc5e,Abies balsamea,
c901dd92-d6ca-4535-be97-de21f090887f,Abies grandis,
d29d1147-af5f-4e71-9b35-5a525ff374be,Abies lasiocarpa,
e2c186fd-ca1b-44c5-a7d2-f42998dd4380,Acb,
fa61083c-0789-4248-bfb2-e21f1e519813,Acer macrophyllum,
cc1bf41f-750f-4e76-85b4-819f45524f35,Act,
70c836c8-84dc-451a-a94b-a3a2040df62f,Adaptive management,
84132ccf-fcca-46a2-a627-4a908c5bab0a,Aerial systems,
49ad54fb-35cd-4965-9036-2a197bf140cb,Alberta,
4fc00e65-94e5-4fb7-b791-92574974e515,All forest types,
0b932813-f3c2-4828-a770-43659f8c705b,Alnus rubra,
b68f91dd-53e0-459f-abe3-9a0ee273b1fb,alpine tundra,
8de2b584-2c04-488f-8b63-f0c12758a48a,amabilis fir,
f6978cbe-8873-4663-bee6-60ceb1d9af3f,arbutus,
4ab93f58-a2a2-4e03-9306-9c5de7fc04ae,Arbutus menziesii,
65595004-cf50-4d48-8bae-20b243c291d4,Area-based,
033df9dc-e9cb-437a-8268-f5015d39049b,Arizona,
c84a9a4f-40d8-4133-9728-75b5126190f8,Aspen leaf miner,
af3649b4-8b2d-4c49-88e1-1ddb6f618057,At,
7a6e4c53-aa69-4ee4-ae35-da363ca37186,Avalanche,
ceff3023-b1c1-4723-942b-b2accc1aa7e1,Ba,
760437da-12db-460c-ae8a-ae970511b0fa,balsam fir,
88093558-68d8-482a-9176-9d2dc1229603,balsam poplar,
56484637-c77c-4dd1-af9f-1073dbf31cce,Bark beetle,
34958baf-0460-44fb-93cc-467d08153c66,Beaver,
ea4baf9a-0258-410b-9699-46a7297fbd63,Betula papyrifera,
0b2c3f04-b297-4a0e-8fd2-ccecd383f196,BG,
6dcca019-de8c-45fe-90e6-925b76873947,BGxh2,
690b23de-9a91-4e27-8f04-ca5492a07535,Bighorn sheep,
a620ee2b-16b0-4ed9-ab42-31b46a1489f6,bigleaf maple,
b5bf72ca-efdc-45b3-ae25-d8c17e9c7b2b,Biochar,
015d5891-7a5c-47d3-9aae-44ad1b76f9d7,Biomass,
8f982eaf-ac31-4b67-a50c-05f128840aee,Bl,
97999488-07c2-4230-8e01-8f246e5a83f5,Black army cutworm,
